id;adress;coor_lat;coor_lon;coment;vacuum;wash;petrol;open_hours
WAW48;"Marymoncka 127; 01-946 Warszawa";52.29085730577074; 20.948646116727645;;0;0;1;00:00 - 23:59
WAW49;"Heroldów 1; 01-991 Warszawa";52.305015175285156; 20.932746151302467;;1;1;1;00:00 - 23:59
MSC01;"Estrady 13A; 05-080 Mościska";52.287958379858985; 20.876328043974823;;1;1;1;00:00 - 23:59
WAW50;"Obozowa 14; 01-161 Warszawa";52.24435505045821; 20.967019073378946;;1;1;1;00:00 - 23:59
WAW51;"Al. Solidarności 100; 01-016 Warszawa";52.238415623682734; 20.982378188044205;;1;0;1;00:00 - 23:59
WAW52;"Grzybowska 74; 00-844 Warszawa";52.23405337199469; 20.984914869448726;;1;0;1;00:00 - 23:59
WAW53;"Srebrna 9; 00-810 Warszawa";52.2272861274691; 20.9894675143507;;0;0;1;00:00 - 23:59
WAW54;"Daleka 5; 02-020 Warszawa";52.22206246411455; 20.98824420422998;;1;0;1;06:00 - 22:00
WAW55;"Górczewska 50; 01-401 Warszawa";52.23829596385189; 20.955395615716597;;0;0;1;00:00 - 23:59
WAW56;"Al. Prymasa Tysiąclecia 81; 01-242 Warszawa";52.224070613398084; 20.95721082873473;W kierunku Gdanśk;1;0;1;00:00 - 23:59
WAW57;"Al. Prymasa Tysiąclecia 52; 01-242 Warszawa";52.225332011333954; 20.95845155909934;W kierunku dw. Zachodni ;1;1;1;00:00 - 23:59
WAW58;"Lazurowa 40; 01-315 Warszawa";52.23907516327573; 20.897438820551525;;1;1;1;00:00 - 23:59
WAW59;"Połczyńska 119; 01-303 Warszawa";52.21623403511406; 20.884133589014628;;1;1;1;00:00 - 23:59
WAW60;"Traktorzystów 8; 02-495 Warszawa";52.19979427278918; 20.89364682786872;;1;1;1;00:00 - 23:59
WAW61;"Orląt Lwowskich 69; 02-495 Warszawa";52.19283247763637; 20.859774442303806;;1;1;1;00:00 - 23:59
OPK01;"Michała Spisaka 1A; 05-816 Opacz-Kolonia";52.18160484661722; 20.88561760874789;;1;1;1;00:00 - 23:59
PRU01;"Piastowska 4; 05-800 Pruszków";52.17274180248741; 20.838488431458728;;1;1;1;00:00 - 23:59
PRU02;"Bohaterów Warszawy 7; 05-800 Pruszków";52.17162086224185; 20.812404646122783;;1;1;1;00:00 - 23:59
PRU03;"Przejazdowa 5; 05-800 Pruszków";52.175561342581105; 20.772013999748392;;1;1;1;00:00 - 23:59
PRU04;"Parkowa 49; 05-806 Pęcice";52.14473309919749; 20.848103899611758;;1;1;1;00:00 - 23:59
JNK01;"Aleja Krakowska 17; 05-090 Falenty";52.13841660788784; 20.901559854324613;;1;1;1;00:00 - 23:59
